t,u,theta,theta_rad,phi
5.08,35,-4.229647,-4.229647,36
5.09,35,-4.727506,-4.727506,36
5.1,35,-5.191819,-5.191819,36
5.11,35,-5.626874,-5.626874,36
5.12,35,-6.024966,-6.024966,36
5.13,35,-6.3818,-6.3818,36
5.14,35,-6.692356,-6.692356,36
5.15,35,-6.957673,-6.957673,36
5.16,35,-7.174023,-7.174023,36
5.17,35,-7.342251,-7.342251,36
5.18,35,-7.460508,-7.460508,36
5.19,35,-7.531117,-7.531117,36
5.2,35,-7.559272,-7.559272,36
5.21,35,-7.536691,-7.536691,36
5.22,35,-7.462721,-7.462721,36
5.23,35,-7.342817,-7.342817,36
5.24,35,-7.176486,-7.176486,36
5.25,35,-6.965738,-6.965738,36
5.26,35,-6.712457,-6.712457,36
5.27,35,-6.422345,-6.422345,36
5.28,35,-6.086915,-6.086915,36
5.29,35,-5.715291,-5.715291,36
5.3,35,-5.308512,-5.308512,36
5.31,35,-4.870155,-4.870155,36
5.32,35,-4.404651,-4.404651,36
5.33,35,-3.915323,-3.915323,36
5.34,35,-3.399083,-3.399083,36
5.35,35,-2.86306,-2.86306,36
5.36,35,-2.310338,-2.310338,36
5.37,35,-1.744332,-1.744332,36
5.38,35,-1.170012,-1.170012,36
5.39,35,-0.592792,-0.592792,36
5.4,35,-0.009356864,-0.009356864,36
5.41,35,0.5707781,0.5707781,36
5.42,35,1.146476,1.146476,36
5.43,35,1.713181,1.713181,36
5.44,35,2.27122,2.27122,36
5.45,35,2.811359,2.811359,36
5.46,35,3.331443,3.331443,36
5.47,35,3.832468,3.832468,36
5.48,35,4.30236,4.30236,36
5.49,35,4.74242,4.74242,36
5.5,35,5.161806,5.161806,36
5.51,35,5.542108,5.542108,36
5.52,35,5.883643,5.883643,36
5.53,35,6.184434,6.184434,36
5.54,35,6.44335,6.44335,36
5.55,35,6.666418,6.666418,36
5.56,35,6.850749,6.850749,36
5.57,35,6.988563,6.988563,36
5.58,35,7.082375,7.082375,36
5.59,35,7.128777,7.128777,36
5.6,35,7.134193,7.134193,36
5.61,35,7.097243,7.097243,36
5.62,35,7.021819,7.021819,36
5.63,35,6.90112,6.90112,36
5.64,35,6.744694,6.744694,36
5.65,35,6.541348,6.541348,36
5.66,35,6.307127,6.307127,36
5.67,35,6.033157,6.033157,36
5.68,35,5.725267,5.725267,36
5.69,35,5.385064,5.385064,36
5.7,35,5.010101,5.010101,36
5.71,35,4.6134,4.6134,36
5.72,35,4.193955,4.193955,36
5.73,35,3.754459,3.754459,36
5.74,35,3.287555,3.287555,36
5.75,35,2.804312,2.804312,36
5.76,35,2.30614,2.30614,36
5.77,35,1.800445,1.800445,36
5.78,35,1.288021,1.288021,36
5.79,35,0.7725569,0.7725569,36
5.8,35,0.2604415,0.2604415,36
5.81,35,-0.2549138,-0.2549138,36
5.82,35,-0.763043,-0.763043,36
5.83,35,-1.266358,-1.266358,36
5.84,35,-1.757731,-1.757731,36
5.85,35,-2.230915,-2.230915,36
5.86,35,-2.682019,-2.682019,36
5.87,35,-3.121172,-3.121172,36
5.88,35,-3.536548,-3.536548,36
5.89,35,-3.926213,-3.926213,36
5.9,35,-4.283792,-4.283792,36
5.91,35,-4.612901,-4.612901,36
5.92,35,-4.90721,-4.90721,36
5.93,35,-5.163072,-5.163072,36
5.94,35,-5.38446,-5.38446,36
5.95,35,-5.574721,-5.574721,36
5.96,35,-5.728682,-5.728682,36
5.97,35,-5.840952,-5.840952,36
5.98,35,-5.90796,-5.90796,36
5.99,35,-5.938628,-5.938628,36
6,35,-5.927999,-5.927999,36
6.01,35,-5.885891,-5.885891,36
6.02,35,-5.806186,-5.806186,36
6.03,35,-5.692533,-5.692533,36
6.04,35,-5.542544,-5.542544,36
6.05,35,-5.358825,-5.358825,36
6.06,35,-5.13544,-5.13544,36
6.07,35,-4.889203,-4.889203,36
6.08,35,-4.604386,-4.604386,36
6.09,35,-4.294134,-4.294134,36
6.1,35,-3.953565,-3.953565,36
6.11,35,-3.588341,-3.588341,36
6.12,35,-3.199425,-3.199425,36
6.13,35,-2.800454,-2.800454,36
6.14,35,-2.382601,-2.382601,36
6.15,35,-1.957762,-1.957762,36
6.16,35,-1.514798,-1.514798,36
6.17,35,-1.063245,-1.063245,36
6.18,35,-0.6080565,-0.6080565,36
6.19,35,-0.1503661,-0.1503661,36
6.2,35,0.3071828,0.3071828,36
6.21,35,0.7605505,0.7605505,36
6.22,35,1.211201,1.211201,36
6.23,35,1.647067,1.647067,36
6.24,35,2.072757,2.072757,36
6.25,35,2.484919,2.484919,36
6.26,35,2.88536,2.88536,36
6.27,35,3.263262,3.263262,36
6.28,35,3.621398,3.621398,36
6.29,35,3.949484,3.949484,36
6.3,35,4.254583,4.254583,36
6.31,35,4.534266,4.534266,36
6.32,35,4.789767,4.789767,36
6.33,35,5.009347,5.009347,36
6.34,35,5.194403,5.194403,36
6.35,35,5.349625,5.349625,36
6.36,35,5.465494,5.465494,36
6.37,35,5.553569,5.553569,36
6.38,35,5.604157,5.604157,36
6.39,35,5.614249,5.614249,36
6.4,35,5.593766,5.593766,36
6.41,35,5.531896,5.531896,36
6.42,35,5.445229,5.445229,36
6.43,35,5.333163,5.333163,36
6.44,35,5.183156,5.183156,36
6.45,35,5.010382,5.010382,36
6.46,35,4.806351,4.806351,36
6.47,35,4.568564,4.568564,36
6.48,35,4.30939,4.30939,36
6.49,35,4.026027,4.026027,36
6.5,35,3.727728,3.727728,36
6.51,35,3.404379,3.404379,36
6.52,35,3.059233,3.059233,36
6.53,35,2.70301,2.70301,36
6.54,35,2.3379,2.3379,36
6.55,35,1.954312,1.954312,36
6.56,35,1.56355,1.56355,36
6.57,35,1.163227,1.163227,36
6.58,35,0.7641192,0.7641192,36
6.59,35,0.366149,0.366149,36
6.6,35,-0.03017467,-0.03017467,36
6.61,35,-0.421936,-0.421936,36
6.62,35,-0.8083951,-0.8083951,36
6.63,35,-1.186782,-1.186782,36
6.64,35,-1.551466,-1.551466,36
6.65,35,-1.90633,-1.90633,36
6.66,35,-2.253029,-2.253029,36
6.67,35,-2.573488,-2.573488,36
6.68,35,-2.870916,-2.870916,36
6.69,35,-3.145702,-3.145702,36
6.7,35,-3.399194,-3.399194,36
6.71,35,-3.625425,-3.625425,36
6.72,35,-3.83064,-3.83064,36
6.73,35,-4.007647,-4.007647,36
6.74,35,-4.157522,-4.157522,36
6.75,35,-4.271561,-4.271561,36
6.76,35,-4.360199,-4.360199,36
6.77,35,-4.420931,-4.420931,36
6.78,35,-4.449699,-4.449699,36
6.79,35,-4.448851,-4.448851,36
6.8,35,-4.421533,-4.421533,36
6.81,35,-4.361839,-4.361839,36
6.82,35,-4.27049,-4.27049,36
6.83,35,-4.155825,-4.155825,36
6.84,35,-4.014502,-4.014502,36
6.85,35,-3.84807,-3.84807,36
6.86,35,-3.656274,-3.656274,36
6.87,35,-3.441356,-3.441356,36
6.88,35,-3.204836,-3.204836,36
6.89,35,-2.953936,-2.953936,36
6.9,35,-2.681959,-2.681959,36
6.91,35,-2.393766,-2.393766,36
6.92,35,-2.091014,-2.091014,36
6.93,35,-1.770772,-1.770772,36
6.94,35,-1.44165,-1.44165,36
6.95,35,-1.112387,-1.112387,36
6.96,35,-0.7749792,-0.7749792,36
6.97,35,-0.4347928,-0.4347928,36
6.98,35,-0.08537969,-0.08537969,36
