t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
2.49,-0.02217139,-0.1047169,-0.06426942,-0.6396196,0.2012105,0.2842768,-0.9409339,0
2.5,-0.01965084,-0.1025164,-0.09731075,-0.6323666,0.1866236,0.2702309,-0.8897121,0
2.51,-0.01482682,-0.1002825,-0.2364042,-0.6288647,0.1720366,0.2566809,-0.8361979,0
2.52,-0.0155041,-0.09738231,-0.3821591,-0.6249511,0.1574492,0.243612,-0.7820668,0
2.53,-0.01521737,-0.09605925,-0.4479754,-0.6323342,0.1428623,0.2310041,-0.7269627,0
2.54,-0.01726275,-0.09566001,-0.5561591,-0.6474564,0.1282749,0.2188452,-0.6699134,0
2.55,-0.02175328,-0.09684581,-0.5860029,-0.6713921,0.1136885,0.2071192,-0.6127038,0
2.56,-0.02327026,-0.1000979,-0.6475558,-0.7047757,0.1088257,0.195799,-0.5560062,0
2.57,-0.02400064,-0.101448,-0.8170259,-0.7072898,0.09910107,0.1853366,-0.5162228,0
2.58,-0.03282207,-0.102399,-0.9036262,-0.7008141,0.08937597,0.1752806,-0.4834991,0
